BubbleSort : comps[250875], swaps[369268]
BubbleSort : comps[252651], swaps[371642]
BubbleSort : comps[254190], swaps[371889]
BubbleSort : comps[255067], swaps[386785]
BubbleSort : comps[257213], swaps[387737]
BubbleSort : comps[256949], swaps[378825]
BubbleSort : comps[260190], swaps[416047]
BubbleSort : comps[261230], swaps[385229]
BubbleSort : comps[262140], swaps[382440]
BubbleSort : comps[264222], swaps[382153]
BubbleSort : comps[265004], swaps[406418]
BubbleSort : comps[266643], swaps[401964]
BubbleSort : comps[268108], swaps[390361]
BubbleSort : comps[269919], swaps[402584]
BubbleSort : comps[271547], swaps[396408]
BubbleSort : comps[272902], swaps[414607]
BubbleSort : comps[274533], swaps[411878]
BubbleSort : comps[275406], swaps[395217]
BubbleSort : comps[275740], swaps[419407]
BubbleSort : comps[279300], swaps[434762]
BubbleSort : comps[280830], swaps[403026]
BubbleSort : comps[281673], swaps[408943]
BubbleSort : comps[283251], swaps[418319]
BubbleSort : comps[284610], swaps[416496]
BubbleSort : comps[286083], swaps[423559]
BubbleSort : comps[288300], swaps[423500]
BubbleSort : comps[287091], swaps[433764]
BubbleSort : comps[291166], swaps[436078]
BubbleSort : comps[291867], swaps[426854]
BubbleSort : comps[293447], swaps[445617]
BubbleSort : comps[295974], swaps[441646]
BubbleSort : comps[296228], swaps[444077]
BubbleSort : comps[297611], swaps[435669]
BubbleSort : comps[298989], swaps[433852]
BubbleSort : comps[300657], swaps[444890]
BubbleSort : comps[303534], swaps[449259]
BubbleSort : comps[302886], swaps[449878]
BubbleSort : comps[306558], swaps[457790]
BubbleSort : comps[308040], swaps[468774]
BubbleSort : comps[308902], swaps[460453]
BubbleSort : comps[310224], swaps[459026]
BubbleSort : comps[312060], swaps[459297]
BubbleSort : comps[314496], swaps[480295]
BubbleSort : comps[316085], swaps[445538]
BubbleSort : comps[315588], swaps[482421]
BubbleSort : comps[318970], swaps[473026]
BubbleSort : comps[321048], swaps[479567]
BubbleSort : comps[322065], swaps[493605]
BubbleSort : comps[323749], swaps[473836]
BubbleSort : comps[325248], swaps[494207]
BubbleSort : comps[326420], swaps[496719]
BubbleSort : comps[327888], swaps[492853]
BubbleSort : comps[330426], swaps[511328]
BubbleSort : comps[332220], swaps[471624]
BubbleSort : comps[333718], swaps[501316]
BubbleSort : comps[335712], swaps[501161]
BubbleSort : comps[335415], swaps[501285]
BubbleSort : comps[337060], swaps[493768]
BubbleSort : comps[339129], swaps[517064]
BubbleSort : comps[342273], swaps[499965]
BubbleSort : comps[343710], swaps[506485]
BubbleSort : comps[343551], swaps[511085]
BubbleSort : comps[346500], swaps[484926]
BubbleSort : comps[347434], swaps[516469]
BubbleSort : comps[350493], swaps[504386]
BubbleSort : comps[351884], swaps[523884]
BubbleSort : comps[354040], swaps[511270]
BubbleSort : comps[355116], swaps[526091]
BubbleSort : comps[356259], swaps[533232]
BubbleSort : comps[358000], swaps[536581]
BubbleSort : comps[360654], swaps[533711]
BubbleSort : comps[362273], swaps[543771]
BubbleSort : comps[361953], swaps[551665]
BubbleSort : comps[364994], swaps[535853]
BubbleSort : comps[367533], swaps[547791]
BubbleSort : comps[368550], swaps[553249]
BubbleSort : comps[370188], swaps[549815]
BubbleSort : comps[372645], swaps[564117]
BubbleSort : comps[374245], swaps[559555]
BubbleSort : comps[376125], swaps[537572]
BubbleSort : comps[377349], swaps[587052]
BubbleSort : comps[379161], swaps[557497]
BubbleSort : comps[380681], swaps[562334]
BubbleSort : comps[382620], swaps[582990]
BubbleSort : comps[384442], swaps[569701]
BubbleSort : comps[384990], swaps[568925]
BubbleSort : comps[388056], swaps[549552]
BubbleSort : comps[390195], swaps[569989]
BubbleSort : comps[392019], swaps[597719]
BubbleSort : comps[393503], swaps[580506]
BubbleSort : comps[394120], swaps[593305]
BubbleSort : comps[396566], swaps[602945]
BubbleSort : comps[398310], swaps[588753]
BubbleSort : comps[397879], swaps[626077]
BubbleSort : comps[401933], swaps[594893]
BubbleSort : comps[401700], swaps[575637]
BubbleSort : comps[406120], swaps[600913]
BubbleSort : comps[407985], swaps[604640]
BubbleSort : comps[406725], swaps[602577]
BubbleSort : comps[411607], swaps[623695]
BubbleSort : comps[413405], swaps[614285]
BubbleSort : comps[414141], swaps[619473]
BubbleSort : comps[416680], swaps[619072]
BubbleSort : comps[417117], swaps[631337]
BubbleSort : comps[420732], swaps[638196]
BubbleSort : comps[421659], swaps[630910]
BubbleSort : comps[424053], swaps[627614]
BubbleSort : comps[422148], swaps[601068]
BubbleSort : comps[427897], swaps[622003]
BubbleSort : comps[428853], swaps[636080]
BubbleSort : comps[431457], swaps[660054]
BubbleSort : comps[433251], swaps[634639]
BubbleSort : comps[434676], swaps[642185]
BubbleSort : comps[437370], swaps[641928]
BubbleSort : comps[439102], swaps[656896]
BubbleSort : comps[440202], swaps[673427]
BubbleSort : comps[439025], swaps[668499]
BubbleSort : comps[444235], swaps[664603]
BubbleSort : comps[445857], swaps[682661]
BubbleSort : comps[448758], swaps[669507]
BubbleSort : comps[450655], swaps[651157]
BubbleSort : comps[452648], swaps[694769]
BubbleSort : comps[451953], swaps[667308]
BubbleSort : comps[455710], swaps[685039]
BubbleSort : comps[457583], swaps[707942]
BubbleSort : comps[460067], swaps[697860]
BubbleSort : comps[461338], swaps[662263]
BubbleSort : comps[463935], swaps[711794]
BubbleSort : comps[465060], swaps[717309]
BubbleSort : comps[467362], swaps[685762]
BubbleSort : comps[468587], swaps[706202]
BubbleSort : comps[467811], swaps[715971]
BubbleSort : comps[471223], swaps[722641]
BubbleSort : comps[475422], swaps[721769]
BubbleSort : comps[477698], swaps[697503]
BubbleSort : comps[477880], swaps[735424]
BubbleSort : comps[480345], swaps[724103]
BubbleSort : comps[482816], swaps[754242]
BubbleSort : comps[485352], swaps[717715]
BubbleSort : comps[486200], swaps[712328]
BubbleSort : comps[488994], swaps[724389]
BubbleSort : comps[491101], swaps[726277]
BubbleSort : comps[493290], swaps[726851]
BubbleSort : comps[493430], swaps[743685]
BubbleSort : comps[497425], swaps[736525]
BubbleSort : comps[499247], swaps[746261]
