BInsertSort : comps[65], swaps[121]
BInsertSort : comps[83], swaps[135]
BInsertSort : comps[97], swaps[167]
BInsertSort : comps[102], swaps[186]
BInsertSort : comps[125], swaps[227]
BInsertSort : comps[149], swaps[247]
BInsertSort : comps[168], swaps[318]
BInsertSort : comps[189], swaps[325]
BInsertSort : comps[193], swaps[436]
BInsertSort : comps[209], swaps[409]
BInsertSort : comps[242], swaps[440]
BInsertSort : comps[249], swaps[491]
BInsertSort : comps[271], swaps[568]
BInsertSort : comps[271], swaps[584]
BInsertSort : comps[318], swaps[628]
BInsertSort : comps[337], swaps[763]
BInsertSort : comps[347], swaps[826]
BInsertSort : comps[372], swaps[876]
BInsertSort : comps[390], swaps[904]
BInsertSort : comps[421], swaps[862]
BInsertSort : comps[411], swaps[1041]
BInsertSort : comps[432], swaps[1015]
BInsertSort : comps[473], swaps[1220]
BInsertSort : comps[497], swaps[1262]
BInsertSort : comps[512], swaps[1333]
BInsertSort : comps[561], swaps[1353]
BInsertSort : comps[565], swaps[1330]
BInsertSort : comps[566], swaps[1517]
BInsertSort : comps[603], swaps[1540]
BInsertSort : comps[612], swaps[1444]
BInsertSort : comps[601], swaps[1839]
BInsertSort : comps[652], swaps[1842]
BInsertSort : comps[696], swaps[1802]
BInsertSort : comps[677], swaps[2371]
BInsertSort : comps[735], swaps[2308]
BInsertSort : comps[793], swaps[2103]
BInsertSort : comps[799], swaps[2296]
BInsertSort : comps[804], swaps[2321]
BInsertSort : comps[831], swaps[2669]
BInsertSort : comps[840], swaps[2665]
BInsertSort : comps[850], swaps[2702]
BInsertSort : comps[883], swaps[2798]
BInsertSort : comps[903], swaps[2790]
BInsertSort : comps[929], swaps[2827]
BubbleSort : comps[1], swaps[4]
BubbleSort : comps[5], swaps[11]
BubbleSort : comps[15], swaps[33]
BubbleSort : comps[27], swaps[52]
BubbleSort : comps[44], swaps[110]
BubbleSort : comps[51], swaps[84]
BubbleSort : comps[85], swaps[202]
BubbleSort : comps[120], swaps[224]
BubbleSort : comps[152], swaps[306]
BubbleSort : comps[180], swaps[346]
BubbleSort : comps[203], swaps[440]
BubbleSort : comps[248], swaps[402]
BubbleSort : comps[322], swaps[679]
BubbleSort : comps[368], swaps[659]
BubbleSort : comps[407], swaps[831]
BubbleSort : comps[496], swaps[853]
BubbleSort : comps[525], swaps[938]
BubbleSort : comps[624], swaps[1188]
BubbleSort : comps[675], swaps[1021]
BubbleSort : comps[765], swaps[1397]
BubbleSort : comps[833], swaps[1284]
BubbleSort : comps[910], swaps[1393]
BubbleSort : comps[1029], swaps[1760]
BubbleSort : comps[1107], swaps[1524]
BubbleSort : comps[1222], swaps[1921]
BubbleSort : comps[1305], swaps[1934]
BubbleSort : comps[1421], swaps[2253]
BubbleSort : comps[1530], swaps[2275]
BubbleSort : comps[1632], swaps[2777]
BubbleSort : comps[1665], swaps[2508]
BubbleSort : comps[1891], swaps[2818]
BubbleSort : comps[1971], swaps[2972]
BubbleSort : comps[2067], swaps[3396]
BubbleSort : comps[2242], swaps[3499]
BubbleSort : comps[2409], swaps[3896]
BubbleSort : comps[2520], swaps[4047]
BubbleSort : comps[2691], swaps[4129]
BubbleSort : comps[2784], swaps[4319]
BubbleSort : comps[2925], swaps[5235]
BubbleSort : comps[3159], swaps[4486]
BubbleSort : comps[2943], swaps[4268]
BubbleSort : comps[3441], swaps[5340]
BubbleSort : comps[3619], swaps[5944]
BubbleSort : comps[3807], swaps[6530]
BubbleSort : comps[3914], swaps[6093]
BubbleSort : comps[4176], swaps[6778]
BubbleSort : comps[4280], swaps[7133]
BubbleSort : comps[4515], swaps[5709]
BubbleSort : comps[4582], swaps[6790]
